JULIA,2005,2,14192
WIKTORIA,2005,2,11578
NATALIA,2005,2,9677
ALEKSANDRA,2005,2,8691
OLIWIA,2005,2,8588
ZUZANNA,2005,2,6588
MARTYNA,2005,2,5936
WERONIKA,2005,2,5732
KAROLINA,2005,2,5398
AMELIA,2005,2,4803
MAJA,2005,2,4580
PATRYCJA,2005,2,3809
ANNA,2005,2,3791
KINGA,2005,2,3767
KLAUDIA,2005,2,3594
MAGDALENA,2005,2,3499
NIKOLA,2005,2,3423
EMILIA,2005,2,3316
DOMINIKA,2005,2,3043
KATARZYNA,2005,2,2871
PAULINA,2005,2,2871
GABRIELA,2005,2,2765
ALICJA,2005,2,2608
MARTA,2005,2,2569
ZOFIA,2005,2,2476
MARIA,2005,2,2334
AGATA,2005,2,1885
MAŁGORZATA,2005,2,1688
DARIA,2005,2,1557
HANNA,2005,2,1551
JOANNA,2005,2,1547
KAMILA,2005,2,1542
SANDRA,2005,2,1360
LAURA,2005,2,1294
ROKSANA,2005,2,1249
JUSTYNA,2005,2,1189
MILENA,2005,2,1133
IZABELA,2005,2,1068
AGNIESZKA,2005,2,1052
MONIKA,2005,2,991
KORNELIA,2005,2,948
JAGODA,2005,2,909
NADIA,2005,2,907
OLGA,2005,2,893
ANGELIKA,2005,2,864
IGA,2005,2,733
EWA,2005,2,700
BARBARA,2005,2,663
EWELINA,2005,2,644
LENA,2005,2,623
MARCELINA,2005,2,596
SYLWIA,2005,2,550
SARA,2005,2,547
MICHALINA,2005,2,529
MALWINA,2005,2,510
NINA,2005,2,501
ADRIANNA,2005,2,477
KAJA,2005,2,472
KARINA,2005,2,431
ELIZA,2005,2,430
JULITA,2005,2,423
ANTONINA,2005,2,417
URSZULA,2005,2,382
ANASTAZJA,2005,2,363
DAGMARA,2005,2,361
NICOLE,2005,2,352
MARIKA,2005,2,348
POLA,2005,2,342
ŁUCJA,2005,2,322
MATYLDA,2005,2,321
VANESSA,2005,2,288
ANDŻELIKA,2005,2,279
OLIVIA,2005,2,279
MARLENA,2005,2,278
JESSICA,2005,2,273
NICOLA,2005,2,258
DOROTA,2005,2,254
ANITA,2005,2,251
LIDIA,2005,2,249
KALINA,2005,2,248
BEATA,2005,2,233
VICTORIA,2005,2,225
MAGDA,2005,2,223
RÓŻA,2005,2,221
KLARA,2005,2,218
HELENA,2005,2,217
ANETA,2005,2,215
SONIA,2005,2,200
ROZALIA,2005,2,196
WANESSA,2005,2,196
PAULA,2005,2,194
ANIELA,2005,2,191
OTYLIA,2005,2,184
LIWIA,2005,2,180
NATASZA,2005,2,172
MARIANNA,2005,2,164
LILIANA,2005,2,163
EDYTA,2005,2,159
INGA,2005,2,150
JULIANNA,2005,2,140
JULIA,2006,2,14279
WIKTORIA,2006,2,11665
OLIWIA,2006,2,9683
NATALIA,2006,2,8711
ALEKSANDRA,2006,2,8343
ZUZANNA,2006,2,7381
MARTYNA,2006,2,5958
MAJA,2006,2,5509
AMELIA,2006,2,5318
WERONIKA,2006,2,5277
ANNA,2006,2,4975
KAROLINA,2006,2,4723
KINGA,2006,2,3769
NIKOLA,2006,2,3746
PATRYCJA,2006,2,3731
EMILIA,2006,2,3603
MAGDALENA,2006,2,3483
KLAUDIA,2006,2,3277
DOMINIKA,2006,2,2985
ALICJA,2006,2,2946
PAULINA,2006,2,2937
ZOFIA,2006,2,2827
GABRIELA,2006,2,2780
MARIA,2006,2,2770
KATARZYNA,2006,2,2459
MARTA,2006,2,2416
AGATA,2006,2,2034
HANNA,2006,2,2014
JOANNA,2006,2,1547
MAŁGORZATA,2006,2,1538
LENA,2006,2,1512
MILENA,2006,2,1496
KAMILA,2006,2,1417
DARIA,2006,2,1383
SANDRA,2006,2,1266
ROKSANA,2006,2,1256
LAURA,2006,2,1214
NADIA,2006,2,1164
JUSTYNA,2006,2,1143
IZABELA,2006,2,1069
KORNELIA,2006,2,1058
JAGODA,2006,2,968
AGNIESZKA,2006,2,960
MONIKA,2006,2,851
ANTONINA,2006,2,832
ANGELIKA,2006,2,770
OLGA,2006,2,733
SARA,2006,2,730
IGA,2006,2,725
MALWINA,2006,2,710
MICHALINA,2006,2,704
EWA,2006,2,700
BARBARA,2006,2,687
NINA,2006,2,593
MARCELINA,2006,2,592
POLA,2006,2,580
EWELINA,2006,2,514
ANASTAZJA,2006,2,472
SYLWIA,2006,2,446
KAJA,2006,2,437
ADRIANNA,2006,2,433
OLIVIA,2006,2,432
KARINA,2006,2,428
NICOLE,2006,2,422
MARIKA,2006,2,419
ELIZA,2006,2,411
MATYLDA,2006,2,410
JULITA,2006,2,385
ŁUCJA,2006,2,374
VICTORIA,2006,2,372
NICOLA,2006,2,365
URSZULA,2006,2,361
DAGMARA,2006,2,354
JESSICA,2006,2,308
DOROTA,2006,2,302
KALINA,2006,2,299
VANESSA,2006,2,297
HELENA,2006,2,287
MARLENA,2006,2,286
LIDIA,2006,2,263
ANIELA,2006,2,254
MAGDA,2006,2,252
ANITA,2006,2,250
MARIANNA,2006,2,247
ANETA,2006,2,244
ANDŻELIKA,2006,2,236
BLANKA,2006,2,226
NATASZA,2006,2,223
KLARA,2006,2,216
RÓŻA,2006,2,215
LILIANA,2006,2,201
OTYLIA,2006,2,195
SONIA,2006,2,194
WANESSA,2006,2,193
TATIANA,2006,2,192
BEATA,2006,2,171
ROZALIA,2006,2,171
PAULA,2006,2,170
DIANA,2006,2,157
INGA,2006,2,156
JULIA,2007,2,15395
WIKTORIA,2007,2,11591
OLIWIA,2007,2,9252
ZUZANNA,2007,2,9119
NATALIA,2007,2,8678
ALEKSANDRA,2007,2,7658
AMELIA,2007,2,7231
MAJA,2007,2,6560
MARTYNA,2007,2,5813
WERONIKA,2007,2,5068
ANNA,2007,2,4700
NIKOLA,2007,2,4482
KAROLINA,2007,2,4343
EMILIA,2007,2,3766
ZOFIA,2007,2,3655
KINGA,2007,2,3364
PATRYCJA,2007,2,3343
MARIA,2007,2,3233
MAGDALENA,2007,2,3220
ALICJA,2007,2,3194
KLAUDIA,2007,2,3130
GABRIELA,2007,2,3107
HANNA,2007,2,2840
DOMINIKA,2007,2,2715
PAULINA,2007,2,2673
KATARZYNA,2007,2,2352
MARTA,2007,2,2235
LENA,2007,2,2119
AGATA,2007,2,1995
MILENA,2007,2,1801
NADIA,2007,2,1656
MAŁGORZATA,2007,2,1592
LAURA,2007,2,1426
JOANNA,2007,2,1407
KAMILA,2007,2,1384
DARIA,2007,2,1371
ANTONINA,2007,2,1357
SANDRA,2007,2,1356
ROKSANA,2007,2,1301
KORNELIA,2007,2,1152
JAGODA,2007,2,1126
JUSTYNA,2007,2,1023
MICHALINA,2007,2,1002
IZABELA,2007,2,939
AGNIESZKA,2007,2,880
MONIKA,2007,2,829
IGA,2007,2,775
MARCELINA,2007,2,744
SARA,2007,2,740
ANGELIKA,2007,2,720
NINA,2007,2,720
BARBARA,2007,2,712
OLGA,2007,2,688
NICOLA,2007,2,671
POLA,2007,2,655
OLIVIA,2007,2,649
EWA,2007,2,613
MALWINA,2007,2,574
VICTORIA,2007,2,524
BLANKA,2007,2,487
NICOLE,2007,2,472
VANESSA,2007,2,471
ADRIANNA,2007,2,458
EWELINA,2007,2,458
