JAKUB 11862 6.88914184825536
KACPER 912 0.529665938763184
FILIP 8702 5.05389583236538
SZYMON 81 0.047042698508572
JAN 6569 3.81510477163964
MICHAŁ 6058 3.51832922919667
ANTONI 5835 3.38881661478418
MATEUSZ 5459 3.1704455698555
BARTOSZ 5333 3.09726803884217
WOJCIECH 5109 2.96717465037402
ADAM 5086 2.95381684709381
PIOTR 4609 2.67678762254333
ALEKSANDER 4525 2.62800260186777
IGOR 4394 2.55192120057613
MIKOŁAJ 439 0.254959810435348
WIKTOR 429 0.249152069878734
DAWID 3916 2.27431120196999
MARCEL 3742 2.1732565162849
FRANCISZEK 3608 2.09543279282628
ALAN 3416 1.98392417413929
MACIEJ 3325 1.93107373507411
DOMINIK 3091 1.79517260604934
KAROL 3084 1.79110718765971
OSKAR 3056 1.77484551410119
OLIWIER 2844 1.65172141430098
HUBERT 2678 1.55531292106119
TOMASZ 2661 1.54543976211495
PATRYK 266 0.154485898805929
PAWEŁ 2643 1.53498582911304
MAKSYMILIAN 2621 1.52220879988849
KRZYSZTOF 2589 1.50362403010733
KAMIL 2517 1.46180829809971
MIŁOSZ 2475 1.43741578776193
STANISŁAW 24 0.013938577335873
NIKODEM 2323 1.3491381313014
SEBASTIAN 1984 1.15225572643219
BARTŁOMIEJ 1983 1.15167495237653
ADRIAN 1764 1.02448543418668
GABRIEL 1716 0.996608279514937
KRYSTIAN 1598 0.928076940946894
JULIAN 1546 0.897876690052502
TYMOTEUSZ 1544 0.896715141941179
KSAWERY 1534 0.890907401384565
FABIAN 1452 0.843283928820332
LEON 1429 0.82992612554012
ŁUKASZ 1375 0.798564326534405
TYMON 1342 0.779398782697579
IGNACY 125 0.072596756957673
BŁAŻEJ 1236 0.717836732797472
MARCIN 1174 0.681828741346467
BORYS 1104 0.64117455745017
DAMIAN 1073 0.623170561724667
DANIEL 1057 0.613878176834084
ARTUR 947 0.549993030711332
OLAF 931 0.54070064582075
KONRAD 874 0.507596524648051
KAJETAN 840 0.487850206755564
RAFAŁ 823 0.47797704780932
GRZEGORZ 804 0.466942340751754
ERYK 761 0.441969056358314
KUBA 751 0.436161315801701
PRZEMYSŁAW 743 0.431515123356409
OLIVIER 612 0.355433722064768
CEZARY 591 0.343237466895879
NATAN 577 0.335106630116619
RADOSŁAW 570 0.33104121172699
ROBERT 526 0.305487153277889
MAREK 514 0.298517864609952
ALEX 504 0.292710124053338
BRUNO 486 0.282256191051433
EMIL 473 0.274706128327835
TOBIASZ 460 0.267156065604237
GRACJAN 452 0.262509873158946
KORNEL 445 0.258444454769317
NATANIEL 427 0.247990521767412
ARKADIUSZ 408 0.236955814709845
BRAJAN 400 0.232309622264554
NORBERT 374 0.217209496817358
ALEXANDER 370 0.214886400594713
ALEKS 361 0.20965943409376
WITOLD 355 0.206174789759792
ANDRZEJ 329 0.191074664312596
DORIAN 328 0.190493890256934
SEWERYN 317 0.184105375644659
JACEK 316 0.183524601588998
OLIVER 271 0.157389769084235
JERZY 267 0.15506667286159
IWO 263 0.152743576638944
TADEUSZ 240 0.139385773358733
CYPRIAN 227 0.131835710635134
JULIUSZ 225 0.130674162523812
JĘDRZEJ 222 0.128931840356828
DAVID 216 0.125447196022859
SAMUEL 192 0.111508618686986
DARIUSZ 189 0.109766296520002
MIESZKO 181 0.105120104074711
RYSZARD 180 0.104539330019049
ALBERT 179 0.103958555963388
STEFAN 174 0.101054685685081
KEVIN 172 0.099893137573758
